timestamp,expiry,strike,ce_ltp,ce_oi,ce_volume,ce_iv,ce_change_oi,pe_ltp,pe_oi,pe_volume,pe_iv,pe_change_oi,pcr
2026-01-15 15:35:08,14-Jan-2026,23750,300,100000,50000,15.5,5000,1,120000,45000,16.2,-3000,1.2
2026-01-15 15:35:08,14-Jan-2026,23800,250,100000,50000,15.5,5000,1,120000,45000,16.2,-3000,1.2
2026-01-15 15:35:08,14-Jan-2026,23850,200,100000,50000,15.5,5000,1,120000,45000,16.2,-3000,1.2
2026-01-15 15:35:08,14-Jan-2026,23900,150,100000,50000,15.5,5000,1,120000,45000,16.2,-3000,1.2
2026-01-15 15:35:08,14-Jan-2026,23950,100,100000,50000,15.5,5000,1,120000,45000,16.2,-3000,1.2
2026-01-15 15:35:08,14-Jan-2026,24000,50,100000,50000,15.5,5000,50,120000,45000,16.2,-3000,1.2
2026-01-15 15:35:08,14-Jan-2026,24050,1,100000,50000,15.5,5000,100,120000,45000,16.2,-3000,1.2
2026-01-15 15:35:08,14-Jan-2026,24100,1,100000,50000,15.5,5000,150,120000,45000,16.2,-3000,1.2
2026-01-15 15:35:08,14-Jan-2026,24150,1,100000,50000,15.5,5000,200,120000,45000,16.2,-3000,1.2
2026-01-15 15:35:08,14-Jan-2026,24200,1,100000,50000,15.5,5000,250,120000,45000,16.2,-3000,1.2
2026-01-15 15:35:08,14-Jan-2026,24250,1,100000,50000,15.5,5000,300,120000,45000,16.2,-3000,1.2
