timestamp,expiry,strike,ce_ltp,ce_oi,ce_volume,ce_iv,ce_change_oi,pe_ltp,pe_oi,pe_volume,pe_iv,pe_change_oi,pcr
2026-01-08 11:05:57,13-Jan-2026,25750,312.15,1430,0,0.0,0,16.3,37506,0,0.0,0,0.6
2026-01-08 11:05:57,13-Jan-2026,25800,268.0,10684,0,0.0,0,21.85,91278,0,0.0,0,0.6
2026-01-08 11:05:57,13-Jan-2026,25850,225.85,5975,0,0.0,0,29.55,46827,0,0.0,0,0.6
2026-01-08 11:05:57,13-Jan-2026,25900,187.15,25105,0,0.0,0,40.15,80753,0,0.0,0,0.6
2026-01-08 11:05:57,13-Jan-2026,25950,151.25,19976,0,0.0,0,54.45,46106,0,0.0,0,0.6
2026-01-08 11:05:57,13-Jan-2026,26000,119.8,132426,0,0.0,0,73.0,140012,0,0.0,0,0.6
2026-01-08 11:05:57,13-Jan-2026,26050,91.7,115727,0,0.0,0,95.35,74198,0,0.0,0,0.6
2026-01-08 11:05:57,13-Jan-2026,26100,69.1,278010,0,0.0,0,122.5,112073,0,0.0,0,0.6
2026-01-08 11:05:57,13-Jan-2026,26150,51.05,172508,0,0.0,0,154.7,43300,0,0.0,0,0.6
2026-01-08 11:05:57,13-Jan-2026,26200,37.0,266537,0,0.0,0,190.65,81624,0,0.0,0,0.6
2026-01-08 11:05:57,13-Jan-2026,26250,26.5,110324,0,0.0,0,230.0,16689,0,0.0,0,0.6
2026-01-08 11:05:57,13-Jan-2026,26300,19.0,199233,0,0.0,0,272.2,34135,0,0.0,0,0.6
2026-01-08 15:35:08,14-Jan-2026,23750,300.0,100000,50000,15.5,5000,1.0,120000,45000,16.2,-3000,1.2
2026-01-08 15:35:08,14-Jan-2026,23800,250.0,100000,50000,15.5,5000,1.0,120000,45000,16.2,-3000,1.2
2026-01-08 15:35:08,14-Jan-2026,23850,200.0,100000,50000,15.5,5000,1.0,120000,45000,16.2,-3000,1.2
2026-01-08 15:35:08,14-Jan-2026,23900,150.0,100000,50000,15.5,5000,1.0,120000,45000,16.2,-3000,1.2
2026-01-08 15:35:08,14-Jan-2026,23950,100.0,100000,50000,15.5,5000,1.0,120000,45000,16.2,-3000,1.2
2026-01-08 15:35:08,14-Jan-2026,24000,50.0,100000,50000,15.5,5000,50.0,120000,45000,16.2,-3000,1.2
2026-01-08 15:35:08,14-Jan-2026,24050,1.0,100000,50000,15.5,5000,100.0,120000,45000,16.2,-3000,1.2
2026-01-08 15:35:08,14-Jan-2026,24100,1.0,100000,50000,15.5,5000,150.0,120000,45000,16.2,-3000,1.2
2026-01-08 15:35:08,14-Jan-2026,24150,1.0,100000,50000,15.5,5000,200.0,120000,45000,16.2,-3000,1.2
2026-01-08 15:35:08,14-Jan-2026,24200,1.0,100000,50000,15.5,5000,250.0,120000,45000,16.2,-3000,1.2
2026-01-08 15:35:08,14-Jan-2026,24250,1.0,100000,50000,15.5,5000,300.0,120000,45000,16.2,-3000,1.2
